yard_name,yard_address,yard_city,yard_zipcode,yard_phone,yard_lat,yard_long,yard_code,inv_url,prices_url
LKQ Pick Your Part - Huntsville,6942 Stringfield Rd.,Huntsville,35806,(800) 962-2277,34.77887,-86.652217,1223,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Huntsville-223/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Huntsville-223/prices/
LKQ Pick Your Part - Anaheim,1235 South Beach Blvd.,Anaheim,92804,(800) 962-2277,33.815561,-117.994573,1265,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Anaheim-265/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Anaheim-265/prices/
LKQ Pick Your Part - Bakersfield,5311 South Union Ave.,Bakersfield,93307,(800) 962-2277,35.306423,-119.005333,1260,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Bakersfield-260/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Bakersfield-260/prices/
LKQ Pick Your Part - Rialto,221 E. Santa Ana Avenue,Bloomington,92316,(800) 962-2277,34.055306,-117.367427,1284,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Rialto-284/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Rialto-284/prices/
LKQ Pick Your Part - Chula Vista (West),800 Energy Way,Chula Vista,91911,(800) 962-2277,32.596457,-117.013053,1283,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chula_Vista_(West)-283/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chula_Vista_(West)-283/prices/
LKQ Pick Your Part - Chula Vista (East),880 Energy Way,Chula Vista,91911,(800) 962-2277,32.595782,-117.008471,1264,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chula_Vista_(East)-264/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chula_Vista_(East)-264/prices/
LKQ Pick Your Part - Fontana,15228 Boyle Avenue,Fontana,92337,(800) 962-2277,34.065142,-117.472894,1285,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Fontana-285/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Fontana-285/prices/
LKQ Pick Your Part - Hesperia,11399 Santa Fe Ave. E.,Hesperia,92345,(800) 962-2277,34.457322,-117.283518,1292,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Hesperia-292/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Hesperia-292/prices/
LKQ Pick Your Part - Monrovia,3333 S. Peck Rd.,Monrovia,91016,(800) 962-2277,34.106723,-118.00709,1281,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Monrovia-281/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Monrovia-281/prices/
LKQ Pick Your Part - Oceanside,2315 Carpenter Road,Oceanside,92058,(800) 962-2277,33.213022,-117.358156,1286,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Oceanside-286/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Oceanside-286/prices/
